language,side,tokenization,avg_words_per_sentence,avg_tokens_per_sentence,avg_tokens_per_word,split_word_rate,total_sentences
az,en,bpe,20.96,25.51,1.22,13.5,548202
az,target,bpe,16.65,24.56,1.48,30.53,548202
is,en,bpe,17.28,19.67,1.14,8.56,3122820
is,target,bpe,15.46,19.4,1.25,15.68,3122820
ja,en,bpe,26.98,30.26,1.12,8.15,428857
ja,target,bpe,27.69,29.69,1.07,6.29,428857
la,en,bpe,37.92,46.63,1.23,15.68,97947
la,target,bpe,23.53,37.3,1.59,41.89,97947
tk,en,bpe,19.59,23.04,1.18,11.06,130257
tk,target,bpe,14.84,20.5,1.38,25.37,130257
tr,en,bpe,13.13,14.36,1.09,6.2,35182316
tr,target,bpe,9.15,11.54,1.26,19.4,35182316
uz,en,bpe,22.86,29.0,1.27,16.4,527467
uz,target,bpe,18.69,28.55,1.53,33.21,527467
az,en,bpe_drp,20.96,30.48,1.45,27.59,548202
az,target,bpe_drp,16.65,28.97,1.74,41.8,548202
is,en,bpe_drp,17.28,24.14,1.4,24.79,3122820
is,target,bpe_drp,15.46,23.25,1.5,30.04,3122820
ja,en,bpe_drp,26.98,37.38,1.39,24.83,428857
ja,target,bpe_drp,27.69,30.63,1.11,9.32,428857
la,en,bpe_drp,37.92,55.63,1.47,30.41,97947
la,target,bpe_drp,23.53,42.69,1.81,51.77,97947
tk,en,bpe_drp,19.59,27.84,1.42,25.58,130257
tk,target,bpe_drp,14.84,24.55,1.65,37.92,130257
tr,en,bpe_drp,13.13,16.96,1.29,19.88,35182316
tr,target,bpe_drp,9.15,13.75,1.5,32.48,35182316
uz,en,bpe_drp,22.86,34.25,1.5,29.26,527467
uz,target,bpe_drp,18.69,33.23,1.78,43.37,527467
az,en,spm_bpe,20.92,25.29,1.21,13.03,548202
az,target,spm_bpe,16.65,24.06,1.45,29.06,548202
is,en,spm_bpe,17.28,20.06,1.16,9.96,3122820
is,target,spm_bpe,15.46,20.05,1.3,17.82,3122820
ja,en,spm_bpe,26.87,31.5,1.17,10.83,428757
ja,target,spm_bpe,3.0,22.98,7.67,61.58,428757
la,en,spm_bpe,37.92,46.43,1.22,15.27,97947
la,target,spm_bpe,23.53,37.26,1.58,42.12,97947
tk,en,spm_bpe,19.5,22.81,1.17,10.75,130257
tk,target,spm_bpe,14.84,20.16,1.36,24.13,130257
tr,en,spm_bpe,0.0,0.0,0.0,0.0,0
tr,target,spm_bpe,0.0,0.0,0.0,0.0,0
uz,en,spm_bpe,22.85,28.79,1.26,15.78,527467
uz,target,spm_bpe,18.69,30.69,1.64,35.56,527467
az,en,spm_uni,20.92,25.58,1.22,13.07,548202
az,target,spm_uni,16.65,23.76,1.43,27.6,548202
is,en,spm_uni,17.28,19.97,1.16,9.44,3122820
is,target,spm_uni,15.46,19.72,1.28,17.23,3122820
ja,en,spm_uni,26.87,32.76,1.22,15.4,428757
ja,target,spm_uni,3.0,22.93,7.65,64.62,428757
la,en,spm_uni,37.92,48.59,1.28,18.92,97947
la,target,spm_uni,23.53,38.4,1.63,40.05,97947
tk,en,spm_uni,19.5,25.1,1.29,21.75,130257
tk,target,spm_uni,14.84,20.38,1.37,25.47,130257
tr,en,spm_uni,0.0,0.0,0.0,0.0,0
tr,target,spm_uni,0.0,0.0,0.0,0.0,0
uz,en,spm_uni,22.85,28.46,1.25,13.88,527467
uz,target,spm_uni,18.69,30.16,1.61,33.91,527467
